Geneset	Genes
Mavrikaki et al. Downregulated Genes	STARD4
Mavrikaki et al. Downregulated Genes	JCAD
Mavrikaki et al. Downregulated Genes	CLMP
Mavrikaki et al. Downregulated Genes	SCN3B
Mavrikaki et al. Downregulated Genes	UBTD2
Mavrikaki et al. Downregulated Genes	KIF5C
Mavrikaki et al. Downregulated Genes	GSG1L
Mavrikaki et al. Downregulated Genes	MN1
Mavrikaki et al. Downregulated Genes	P2RY12
Mavrikaki et al. Downregulated Genes	RNF150
Mavrikaki et al. Downregulated Genes	B3GNT2
Mavrikaki et al. Downregulated Genes	GRIK1
Mavrikaki et al. Downregulated Genes	NETO2
Mavrikaki et al. Downregulated Genes	COL24A1
Mavrikaki et al. Downregulated Genes	ADRA1D
Mavrikaki et al. Downregulated Genes	RASGRP1
Mavrikaki et al. Downregulated Genes	ARPP21
Mavrikaki et al. Downregulated Genes	NWD2
Mavrikaki et al. Downregulated Genes	CYB561D1
Mavrikaki et al. Downregulated Genes	LIG4
Mavrikaki et al. Downregulated Genes	NPAS4
Mavrikaki et al. Downregulated Genes	GPR149
Mavrikaki et al. Downregulated Genes	ETV4
Mavrikaki et al. Downregulated Genes	BDNF
